Number,Last,First,IP,GP,GS,BF,#P,W,L,SV,SVO,BS,SV%,H,R,ER,BB,SO,K-L,HBP,ERA,WHIP,LOB,BK,PIK,CS,SB,SB%,WP,BAA,P/IP,P/BF,<3%,LOO,1ST2OUT,123INN,<13,FIP,S%,FPS%,FPSO%,FPSW%,FPSH%,BB/INN,0BBINN,BBS,LOBB,LOBBS,SM%,K/BF,K/BB,WEAK%,HHB%,GO/AO,HR,LD%,FB%,GB%,BABIP,BA/RISP
34,Kelly,,8.2,3,1,37,128,0,0,1,1,0,100,9,7,7,0,8,1,3,5.654,1.038,4,1,0,1,4,80,1,0.265,14.8,3.459,37.84,6,6,4,4,2.223,65.63,70.27,76.92,0,11.54,0,8,0,0,0,14.06,0.216,0,76.92,23.08,0.545,0,23.08,46.15,30.77,0.346,0.333
35,Kennedy,Patrick,4.2,1,1,25,92,0,0,0,0,0,0,6,3,2,3,6,3,1,3,1.929,6,0,0,0,2,100,0,0.286,19.7,3.68,44,3,2,0,0,2.81,61.96,64,68.75,0,31.25,0.643,2,0,0,0,10.87,0.24,2,80,20,1,0,0,33.33,66.67,0.4,0.429
1,Damico,Dillon,13.2,6,0,59,243,0,0,0,0,0,0,11,7,4,9,15,2,0,2.049,1.463,14,0,1,1,5,83.33,0,0.224,17.8,4.119,37.29,8,2,2,2,2.678,62.55,59.32,80,2.86,17.14,0.659,6,2,1,0,13.17,0.254,1.667,74.29,25.71,0.538,0,17.14,51.43,31.43,0.314,0.174
2,Lopez,Robbie,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,Salgado - Rush,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,McCray,Brandon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,Singh,Matthew,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,Klee,JC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,Salazar,Aidan,4.2,3,0,29,92,1,1,0,0,0,0,9,7,2,3,3,1,1,3,2.571,6,0,0,1,2,66.67,2,0.375,19.7,3.172,51.72,2,0,0,1,4.115,58.7,68.97,50,10,35,0.643,3,1,0,0,8.7,0.103,1,72.73,27.27,0.8,0,18.18,31.82,47.62,0.429,0.308
7,Chacon,Jesse,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,Edwards,Zach,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,Cobine,Bobby,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,Sanders,Marcus,8,3,1,37,158,0,0,0,0,0,0,6,4,4,6,13,6,3,3.5,1.5,9,0,1,1,1,50,2,0.214,19.8,4.27,27.03,5,2,1,0,2.815,55.7,54.05,70,15,10,0.75,3,2,2,1,11.39,0.351,2.167,66.67,33.33,3.5,0,20,13.33,66.67,0.4,0.222
